Date Rated,Track Rating,Artist(s),Title,Preview Link
6/20/20,3 Stars (Fresh),Sikka,Nice N Easy,<a href='https://www.youtube.com/embed/GALwEVDzH1Q'>Play</a>
6/19/20,3 Stars (Fresh),"Randall, Ben Soundscape feat. MC Fats",Rollin' Ruff,<a href='https://soundcloud.com/intriguemusic/randall-ben-soundscape-fats'>Play</a>
6/19/20,3 Stars (Fresh),"Villem, McLeod, Leo Wood",Siren,<a href='https://youtube.com/embed/?listType=search&list=Villem%20%20McLeod%20%20Leo%20Wood%20Siren'>Play</a>
6/19/20,4 Stars (Massive),Shy FX,Warning [feat. Gappy Ranks] (Bou Remix),<a href='https://www.youtube.com/watch?list=SRShy%20FX%20Warning%20%5Bfeat.%20Gappy%20Ranks%5D%20(Bou%20Remix)&v=joN4yJcxZKY&feature=emb_title'>Play</a>
6/13/20,3 Stars (Fresh),"Break, Kyo",The Edge of Time (Workforce Remix),<a href='https://youtube.com/embed/?listType=search&list=Break%20%20Kyo%20The%20Edge%20of%20Time%20(Workforce%20Remix)'>Play</a>
6/13/20,3 Stars (Fresh),"Dexcell, Maddy",White Roses (feat. Maddy),<a href='https://youtube.com/embed/?listType=search&list=Dexcell%20%20Maddy%20White%20Roses%20(feat.%20Maddy)'>Play</a>
6/13/20,3 Stars (Fresh),Suff Sakoor,Rise Up (Holotype Remix),<a href='https://youtube.com/embed/?listType=search&list=Suff%20Sakoor%20Rise%20Up%20(Holotype%20Remix)'>Play</a>
6/13/20,3 Stars (Fresh),Twintone feat. Anastasia,What Lies Ahead,<a href='https://youtube.com/embed/?listType=search&list=Twintone%20feat.%20Anastasia%20What%20Lies%20Ahead'>Play</a>
6/13/20,4 Stars (Massive),Bcee & Etherwood,Little Bit Lighter (feat. Charlotte Haining),<a href='https://youtube.com/embed/?listType=search&list=Bcee%20&%20Etherwood%20Little%20Bit%20Lighter%20(feat.%20Charlotte%20Haining)'>Play</a>
6/13/20,4 Stars (Massive),Metrik,Parallel (feat. Grafix),<a href='https://youtube.com/embed/?listType=search&list=Metrik%20Parallel%20(feat.%20Grafix)'>Play</a>
6/13/20,4 Stars (Massive),Monika,Storm (Silence Groove Remix),<a href='https://youtube.com/embed/?listType=search&list=Monika%20Storm%20(Silence%20Groove%20Remix)'>Play</a>
6/13/20,4 Stars (Massive),Technimatic,Mirror Image (Phaction Remix),<a href='https://youtube.com/embed/?listType=search&list=Technimatic%20Mirror%20Image%20(Phaction%20Remix)'>Play</a>
6/13/20,3 Stars (Fresh),Foreign Concept,Tag Team feat. T Man,<a href='https://youtube.com/embed/?listType=search&list=Foreign%20Concept%20Tag%20Team%20feat.%20T%20Man'>Play</a>
6/13/20,3 Stars (Fresh),Friske,A Different Perspective,<a href='https://youtube.com/embed/?listType=search&list=Friske%20A%20Different%20Perspective'>Play</a>
5/30/20,3 Stars (Fresh),Dope Ammo,Risky Business (Dope Ammo Remix),<a href='https://youtube.com/embed/?listType=search&list=Dope%20Ammo%20Risky%20Business%20(Dope%20Ammo%20Remix)'>Play</a>
5/30/20,3 Stars (Fresh),Dope Ammo feat. Rio Hellyer,"Wishin' On a Star (Dope Ammo, Benny Page & Zero G Remix)",<a href='https://youtube.com/embed/?listType=search&list=Dope%20Ammo%20feat.%20Rio%20Hellyer%20Wishin%27%20On%20a%20Star%20(Dope%20Ammo%20%20Benny%20Page%20&%20Zero%20G%20Remix)'>Play</a>
5/30/20,3 Stars (Fresh),Maduk feat. Dan Soleil,Back To Life,<a href='https://youtube.com/embed/?listType=search&list=Maduk%20feat.%20Dan%20Soleil%20Back%20To%20Life'>Play</a>
5/30/20,3 Stars (Fresh),SHY FX feat. Gappy Ranks,Warning (feat. Gappy Ranks) (Bou Remix),<a href='https://youtube.com/embed/?listType=search&list=SHY%20FX%20feat.%20Gappy%20Ranks%20Warning%20(feat.%20Gappy%20Ranks)%20(Bou%20Remix)'>Play</a>
5/30/20,4 Stars (Massive),Deadline,Buttons (feat. Emily Makis),<a href='https://youtube.com/embed/?listType=search&list=Deadline%20Buttons%20(feat.%20Emily%20Makis)'>Play</a>
5/30/20,4 Stars (Massive),Facing Jinx,Come Back To Me (feat. Ewan J. Phillips),<a href='https://youtube.com/embed/?listType=search&list=Facing%20Jinx%20Come%20Back%20To%20Me%20(feat.%20Ewan%20J.%20Phillips)'>Play</a>
5/23/20,4 Stars (Massive),Grafix,Zephyr (feat. Ruth Royall),<a href='https://youtube.com/embed/?listType=search&list=Grafix%20Zephyr%20(feat.%20Ruth%20Royall)'>Play</a>
5/16/20,3 Stars (Fresh),Edlan,Forgotten Basement,<a href='https://youtube.com/embed/?listType=search&list=Edlan%20Forgotten%20Basement'>Play</a>
5/16/20,3 Stars (Fresh),FuntCase feat. Dani Poppitt,Without (Millennial Trash Remix),<a href='https://youtube.com/embed/?listType=search&list=FuntCase%20feat.%20Dani%20Poppitt%20Without%20(Millennial%20Trash%20Remix)'>Play</a>
5/16/20,3 Stars (Fresh),Hybrid Minds feat. DRS,Don't Ever,<a href='https://youtube.com/embed/?listType=search&list=Hybrid%20Minds%20feat.%20DRS%20Don%27t%20Ever'>Play</a>
5/16/20,3 Stars (Fresh),"Vasilisa, Impish",Lonely Street,<a href='https://youtube.com/embed/?listType=search&list=Vasilisa%20%20Impish%20Lonely%20Street'>Play</a>
5/16/20,4 Stars (Massive),"Malaky, Satl & Skeletone",Future Blues (Random Movement remix),<a href='https://youtube.com/embed/?listType=search&list=Malaky%20%20Satl%20&%20Skeletone%20Future%20Blues%20(Random%20Movement%20remix)'>Play</a>
5/16/20,4 Stars (Massive),Mechanical Pressure,Abyss Minds (I Wannabe Remix),<a href='https://youtube.com/embed/?listType=search&list=Mechanical%20Pressure%20Abyss%20Minds%20(I%20Wannabe%20Remix)'>Play</a>
5/13/20,3 Stars (Fresh),Myth & Madcap,No 1 Else,<a href='https://youtube.com/embed/?listType=search&list=Myth%20&%20Madcap%20No%201%20Else'>Play</a>
5/13/20,4 Stars (Massive),Urbandawn,Together Again (I Pray),<a href='https://youtube.com/embed/?listType=search&list=Urbandawn%20Together%20Again%20(I%20Pray)'>Play</a>
5/13/20,4 Stars (Massive),Zero T,Roundwood,<a href='https://youtube.com/embed/?listType=search&list=Zero%20T%20Roundwood'>Play</a>
5/13/20,3 Stars (Fresh),Reprise & Ray Keith,You Make Me Cry [feat. Deploy] (Vocal Club Mix),<a href='https://youtube.com/embed/?listType=search&list=Reprise%20&%20Ray%20Keith%20You%20Make%20Me%20Cry%20[feat.%20Deploy]%20(Vocal%20Club%20Mix)'>Play</a>
4/29/20,3 Stars (Fresh),Facing Jinx feat. Lavahi,Rest Assured,<a href='https://youtube.com/embed/?listType=search&list=Facing%20Jinx%20feat.%20Lavahi%20Rest%20Assured'>Play</a>
4/29/20,4 Stars (Massive),Frederic Robinson,Skip,<a href='https://youtube.com/embed/?listType=search&list=Frederic%20Robinson%20Skip'>Play</a>
4/29/20,4 Stars (Massive),Smeerlapp,Feel Real,<a href='https://youtube.com/embed/?listType=search&list=Smeerlapp%20Feel%20Real'>Play</a>
4/11/20,3 Stars (Fresh),DJ Limited,The Elephant (VIP),<a href='https://youtube.com/embed/?listType=search&list=DJ%20Limited%20The%20Elephant%20(VIP)'>Play</a>
4/11/20,3 Stars (Fresh),"Seba, Paradox",Lifeform,<a href='https://youtube.com/embed/?listType=search&list=Seba%20%20Paradox%20Lifeform'>Play</a>
4/11/20,5 Stars (Epic),In:Most,Silver Lining (feat. Walk:r),<a href='https://youtube.com/embed/?listType=search&list=In:Most%20Silver%20Lining%20(feat.%20Walk:r)'>Play</a>
4/11/20,4 Stars (Massive),Alcemist,Gone,<a href='https://youtube.com/embed/?listType=search&list=Alcemist%20Gone'>Play</a>
4/2/20,4 Stars (Massive),Alcemist,Us,<a href='https://youtube.com/embed/?listType=search&list=Alcemist%20Us'>Play</a>
4/2/20,3 Stars (Fresh),Riton & Kah-Lo,Fake ID (Alcemist Remix),<a href='https://youtube.com/embed/?listType=search&list=Riton%20&%20Kah-Lo%20Fake%20ID%20(Alcemist%20Remix)'>Play</a>
3/27/20,3 Stars (Fresh),Degs feat. Logistics,Colour My Soul,<a href='https://youtube.com/embed/?listType=search&list=Degs%20feat.%20Logistics%20Colour%20My%20Soul'>Play</a>
3/27/20,3 Stars (Fresh),"In_Most, Anastasia",Home feat. Anastasia,<a href='https://youtube.com/embed/?listType=search&list=In_Most%20%20Anastasia%20Home%20feat.%20Anastasia'>Play</a>
3/27/20,3 Stars (Fresh),Majestim,In The Night,<a href='https://youtube.com/embed/?listType=search&list=Majestim%20In%20The%20Night'>Play</a>
3/27/20,5 Stars (Epic),Majestim,Like You Used To,<a href='https://youtube.com/embed/?listType=search&list=Majestim%20Like%20You%20Used%20To'>Play</a>
3/27/20,4 Stars (Massive),Degs,Driving Under Lights,<a href='https://youtube.com/embed/?listType=search&list=Degs%20Driving%20Under%20Lights'>Play</a>
3/22/20,4 Stars (Massive),Beat Merchants feat. Dan-I,Hurricane (Command Strange Remix),<a href='https://youtube.com/embed/?listType=search&list=Beat%20Merchants%20feat.%20Dan-I%20Hurricane%20(Command%20Strange%20Remix)'>Play</a>
3/22/20,4 Stars (Massive),Whiney,Teddy's Gate (feat. LaMeduza),<a href='https://youtube.com/embed/?listType=search&list=Whiney%20Teddy%27s%20Gate%20(feat.%20LaMeduza)'>Play</a>
3/21/20,3 Stars (Fresh),Degs feat. De_Tune,Poveglia (Whiney Remix) (Whiney Remix),<a href='https://youtube.com/embed/?listType=search&list=Degs%20feat.%20De_Tune%20Poveglia%20(Whiney%20Remix)%20(Whiney%20Remix)'>Play</a>
3/21/20,3 Stars (Fresh),"Technimatic, Monrroe feat. Emily Jones",Dawning (Technimatic Remix),<a href='https://youtube.com/embed/?listType=search&list=Technimatic%20%20Monrroe%20feat.%20Emily%20Jones%20Dawning%20(Technimatic%20Remix)'>Play</a>
3/21/20,3 Stars (Fresh),Thomas Oliver,Shine Like The Sun (Nu:Logic Remix),<a href='https://youtube.com/embed/?listType=search&list=Thomas%20Oliver%20Shine%20Like%20The%20Sun%20(Nu:Logic%20Remix)'>Play</a>
3/21/20,5 Stars (Epic),Mohican Sun,Don't Wait,<a href='https://youtube.com/embed/?listType=search&list=Mohican%20Sun%20Don%27t%20Wait'>Play</a>
3/21/20,5 Stars (Epic),Monrroe,Dawning (feat. Emily Jones),<a href='https://youtube.com/embed/?listType=search&list=Monrroe%20Dawning%20(feat.%20Emily%20Jones)'>Play</a>
3/21/20,5 Stars (Epic),Utah Jazz,Exploration,<a href='https://youtube.com/embed/?listType=search&list=Utah%20Jazz%20Exploration'>Play</a>
